iterazione,pinguino,lunghezza
223,1,730.99
223,2,682.39
224,0,632.01
224,1,698.88
224,2,728.68
225,0,632.01
225,1,779.06
225,2,730.99
226,0,632.01
226,1,781.36
226,2,730.99
227,0,632.01
227,1,727.07
227,2,632.01
228,0,632.01
228,1,682.39
228,2,797.86
229,0,632.01
229,1,845.93
229,2,698.88
230,0,632.01
230,1,728.68
230,2,632.01
231,0,632.01
231,1,632.01
231,2,632.01
232,0,632.01
232,1,632.01
232,2,632.01
233,0,631.23
233,1,795.28
233,2,631.23
234,0,631.23
234,1,730.21
234,2,631.23
235,0,631.23
235,1,631.23
235,2,730.21
236,0,631.23
236,1,631.23
236,2,631.23
237,0,631.23
237,1,730.21
237,2,631.23
238,0,631.23
238,1,730.47
238,2,631.50
239,0,631.23
239,1,726.29
239,2,631.23
240,0,631.23
240,1,631.23
240,2,631.50
241,0,631.23
241,1,631.23
241,2,631.50
242,0,631.23
242,1,795.28
242,2,730.47
243,0,631.23
243,1,799.20
243,2,631.23
244,0,631.23
244,1,795.55
244,2,825.26
245,0,631.23
245,1,631.23
245,2,845.66
246,0,631.23
246,1,631.23
246,2,700.23
247,0,631.23
247,1,700.23
247,2,631.23
248,0,631.19
248,1,631.19
248,2,681.87
249,0,631.19
249,1,631.19
249,2,631.19
250,0,631.19
250,1,631.19
250,2,631.19
251,0,631.19
251,1,726.25
251,2,681.87
252,0,527.06
252,1,730.16
252,2,631.19
253,0,527.06
253,1,691.11
253,2,691.11
254,0,527.06
254,1,527.06
254,2,626.04
255,0,527.06
255,1,626.04
255,2,527.06
256,0,527.06
256,1,626.04
256,2,527.06
257,0,527.06
257,1,527.06
257,2,676.41
258,0,527.06
258,1,527.06
258,2,527.06
259,0,527.06
259,1,527.06
259,2,691.11
260,0,527.06
260,1,527.06
260,2,646.43
261,0,527.06
261,1,527.37
261,2,527.06
262,0,527.06
262,1,626.04
262,2,622.12
263,0,527.06
263,1,622.12
263,2,527.06
264,0,527.06
264,1,527.06
264,2,527.06
265,0,527.06
265,1,626.04
265,2,527.06
266,0,527.06
266,1,527.06
266,2,527.06
267,0,527.06
267,1,527.06
267,2,527.06
268,0,527.06
268,1,527.06
268,2,626.04
