iteration,penguin,length
46,11,651861.93
46,15,661458.34
46,7,660648.13
46,3,660625.67
47,4,660387.65
47,8,666304.55
47,12,658632.71
47,0,658124.02
47,5,660492.14
47,9,659589.61
47,13,656220.28
47,1,659559.02
47,6,657691.69
47,10,658129.24
47,14,657919.45
47,2,657383.38
47,7,660251.57
47,11,656875.91
47,15,655211.51
47,3,658792.51
48,4,657311.21
48,0,654846.93
48,12,659632.06
48,8,663451.20
48,5,659771.74
48,1,658613.79
48,13,660696.44
48,9,664376.95
48,6,657697.41
48,2,657518.79
48,14,659599.76
48,10,658692.19
48,7,658842.92
48,3,659943.28
48,15,655488.09
48,11,655725.30
49,4,660838.17
49,8,662369.17
49,12,661197.28
49,0,658321.71
49,5,659131.38
49,9,657410.00
49,13,658497.07
49,1,655557.66
49,6,659804.81
49,10,657682.36
49,14,662178.37
49,2,660843.07
49,7,658258.30
49,11,656890.74
49,3,659885.60
49,15,657699.31
50,4,663347.49
50,0,662498.02
50,8,654613.47
50,12,659077.93
50,5,659127.11
50,1,661559.80
50,9,660471.99
50,13,663879.51
50,6,659645.90
50,10,655383.70
50,2,654499.54
50,14,661854.96
50,7,659555.42
50,11,659829.04
50,3,660418.74
50,15,653547.34
51,4,659023.27
51,12,659025.13
51,0,656833.04
51,8,659166.48
51,5,658625.91
51,13,660428.95
51,1,655735.78
51,9,661096.06
51,6,654738.92
51,14,663188.02
51,2,658804.32
51,10,662205.94
51,7,659514.44
51,15,659986.22
51,3,660389.17
51,11,658876.14
52,4,663692.51
52,12,661034.83
52,8,660296.23
52,0,663241.58
52,5,658998.35
52,13,661276.69
52,9,663146.52
52,1,655595.10
52,6,654959.94
52,14,661803.97
52,10,659649.61
52,2,660229.22
52,7,657160.70
52,15,657666.33
52,11,659480.30
52,3,662323.02
53,0,659522.25
53,12,657978.37
53,4,659500.46
53,8,658100.83
53,1,656825.50
53,13,662104.61
53,5,657438.44
53,9,659848.55
53,2,658801.13
53,14,659887.35
53,6,658939.82
53,10,656340.46
53,3,658677.99
53,15,659845.14
53,7,657954.60
53,11,658851.54
54,8,658510.20
54,0,657441.48
54,12,658155.65
